route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_240,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_192,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_191,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_189,Louis Blanc,,1,,,2,0
IDFM:C01386,IDFM:108219,IDFM:RATP:107741-C01386-COU_RATP_4832833_651522_186,Porte des Lilas,,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_188,Louis Blanc,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_238,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_237,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_187,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_186,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_185,Louis Blanc,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_236,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_235,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_234,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_184,Louis Blanc,,1,,,2,0
IDFM:C01379,IDFM:108219,IDFM:RATP:107623-C01379-COU_RATP_5083881_1652933_330,Pont de Sèvres,,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_183,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_182,Louis Blanc,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_233,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_181,Louis Blanc,,1,,,2,0
IDFM:C01379,IDFM:108219,IDFM:RATP:107623-C01379-COU_RATP_5083881_912397_4,Pont de Sèvres,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_232,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_231,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_230,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_228,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_180,Louis Blanc,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_227,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_226,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_272,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_179,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_178,Louis Blanc,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_181,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_177,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_176,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_175,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_174,Louis Blanc,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_192,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_191,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_190,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01380,IDFM:108219,IDFM:RATP:125915-C01380-COU_RATP_5084039_917606_66,Gare d'Austerlitz,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_173,Louis Blanc,,1,,,2,0
IDFM:C01381,IDFM:108219,IDFM:RATP:127519-C01381-COU_RATP_5094171_2467825_330,Mairie des Lilas,,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_172,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_170,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_169,Louis Blanc,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_188,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_168,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_167,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_166,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_165,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_164,Louis Blanc,,1,,,2,0
IDFM:C01387,IDFM:108219,IDFM:RATP:123050-C01387-COU_RATP_4831062_651583_163,Louis Blanc,,1,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:110218-C01375-COU_RATP_4831007_2991420_205,Bobigny-Pablo-Picasso,,0,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:110218-C01375-COU_RATP_4831007_2991420_208,Bobigny-Pablo-Picasso,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_184,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01378,IDFM:108219,IDFM:RATP:112671-C01378-COU_RATP_4831051_795505_227,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:122971-C01375-COU_RATP_5084013_3120418_168,Bobigny-Pablo-Picasso,,0,,,2,0
